Sampled Sewer Area,DataZone2011,Pop2011,dz_pop,prop_dz
1-4 Glenbarr DOA,S01007329,85,787,0.10800508259212198
5-8 Glenbarr DOA,S01007329,15,787,0.01905972045743329
AIRDS POINT DOA,S01007593,131,1218,0.10755336617405582
AIRDS POINT DOA,S01007594,64,895,0.07150837988826815
AIRDS POINT DOA,S01007595,136,1122,0.12121212121212122
Abden House DOA,S01009476,42,527,0.07969639468690702
Aberargie DOA,S01011884,87,414,0.21014492753623187
Aberchirder DOA,S01007029,34,560,0.060714285714285714
Aberchirder DOA,S01007030,820,820,1.0
Aberchirder DOA,S01007031,445,630,0.7063492063492064
Aberchirder ST DOA,S01007028,17,798,0.021303258145363407
Abercrombie DOA,S01009706,46,642,0.07165109034267912
Aberdour Golf Course DOA,S01009454,107,978,0.10940695296523517
Aberdour Golf Course DOA,S01009455,729,905,0.8055248618784531
Aberdour Silver Sands DOA,S01009454,871,978,0.8905930470347648
Aberdour Silver Sands DOA,S01009455,61,905,0.06740331491712707
Aberdour Silver Sands DOA,S01009457,45,633,0.07109004739336493
Aberfeldy DOA,S01012013,166,748,0.22192513368983957
Aberfeldy DOA,S01012014,832,846,0.983451536643026
Aberfeldy DOA,S01012015,907,984,0.9217479674796748
Aberfeldy DOA,S01012018,122,876,0.13926940639269406
Aberfoyle DOA,S01013110,174,598,0.2909698996655518
Aberfoyle DOA,S01013117,636,636,1.0
Aberfoyle DOA,S01013118,78,527,0.14800759013282733
Aberlemno DOA,S01007228,46,707,0.06506364922206506
Aberlour DOA,S01011047,424,988,0.4291497975708502
Aberlour DOA,S01011051,38,964,0.03941908713692946
Aberlour DOA,S01011052,856,856,1.0
Aberlour DOA,S01011054,15,551,0.02722323049001815
Abernethy DOA,S01011884,29,414,0.07004830917874397
Abernethy DOA,S01011885,633,689,0.918722786647315
Abernethy DOA,S01011886,875,875,1.0
Abernyte DOA,S01011967,84,1148,0.07317073170731707
Aberuthven DOA,S01011850,42,695,0.060431654676258995
Aberuthven DOA,S01011871,481,1114,0.43177737881508077
Abington 2 DOA,S01012572,62,582,0.10652920962199312
Abington Main DOA,S01012572,264,582,0.4536082474226804
Aboyne DOA,S01006794,560,560,1.0
Aboyne DOA,S01006795,745,745,1.0
Aboyne DOA,S01006796,425,575,0.7391304347826086
Aboyne DOA,S01006797,140,667,0.2098950524737631
Aboyne DOA,S01006799,903,903,1.0
Achahoish Council House DOA,S01007320,35,858,0.04079254079254079
Achahoish Sheltered DOA,S01007320,35,858,0.04079254079254079
Achaphubil DOA,S01010509,50,1218,0.041050903119868636
Acharacle DOA,S01010504,74,719,0.10292072322670376
Acharacle DOA,S01010505,283,558,0.507168458781362
Acharn DOA,S01012018,86,876,0.09817351598173515
Achiltibuie DOA,S01010693,67,474,0.14135021097046413
Achmelvich Yh 1 DOA,S01010814,93,724,0.12845303867403315
Achmelvich Yh 2 DOA,S01010814,93,724,0.12845303867403315
Achmore DOA,S01009026,74,1906,0.03882476390346275
Achmore ST DOA,S01010671,86,831,0.10348977135980746
Achnacreemore DOA,S01007305,78,969,0.0804953560371517
Achrimsdale DOA,S01010769,28,483,0.057971014492753624
Ackergill School DOA,S01010788,143,831,0.17208182912154033
Ackergill Tower DOA,S01010788,106,831,0.12755716004813478
Addiewell DOA,S01013255,592,1364,0.4340175953079179
Ae Village DOA,S01007566,174,786,0.22137404580152673
Ae Village DOA,S01007567,15,685,0.021897810218978103
Aignish DOA,S01009047,595,1569,0.3792224346717655
Aignish DOA,S01009048,308,837,0.36798088410991636
Airlie DOA,S01007268,40,627,0.06379585326953748
Airlie Police DOA,S01007268,31,627,0.049441786283891544
Airth DOA,S01009122,216,926,0.23326133909287258
Airth DOA,S01009123,574,574,1.0
Airth DOA,S01009124,584,584,1.0
Airth DOA,S01009125,713,713,1.0
Aith DOA,S01012407,221,1101,0.20072661217075385
Aith DOA,S01012408,85,652,0.1303680981595092
Alcaig DOA,S01010729,88,782,0.11253196930946291
Aldbar DOA,S01007229,12,1211,0.00990916597853014
Alford DOA,S01006882,340,340,1.0
Alford DOA,S01006883,458,458,1.0
Alford DOA,S01006884,946,946,1.0
Alford DOA,S01006885,247,529,0.4669187145557656
Alford DOA,S01006887,272,587,0.46337308347529815
Alford DOA,S01006888,13,1165,0.011158798283261802
Allanton DOA,S01012322,114,1051,0.10846812559467174
Allanton DOA,S01012323,31,1008,0.030753968253968252
Allers DOA,S01012752,31,901,0.03440621531631521
Allers DOA,S01012895,329,536,0.6138059701492538
Allers DOA,S01012896,840,840,1.0
Allers DOA,S01012897,42,617,0.06807131280388978
Allers DOA,S01012899,529,529,1.0
Allers DOA,S01012900,423,926,0.45680345572354214
Allers DOA,S01012901,689,689,1.0
Allers DOA,S01012902,748,748,1.0
Allers DOA,S01012903,811,811,1.0
Allers DOA,S01012904,816,816,1.0
Allers DOA,S01012905,622,622,1.0
Allers DOA,S01012906,900,900,1.0
Allers DOA,S01012907,858,858,1.0
Allers DOA,S01012908,699,699,1.0
Allers DOA,S01012909,610,610,1.0
Allers DOA,S01012910,879,879,1.0
Allers DOA,S01012911,728,740,0.9837837837837838
Allers DOA,S01012912,673,673,1.0
Allers DOA,S01012913,882,882,1.0
Allers DOA,S01012914,848,848,1.0
Allers DOA,S01012915,1060,1060,1.0
Allers DOA,S01012916,658,658,1.0
Allers DOA,S01012917,717,717,1.0
Allers DOA,S01012918,490,490,1.0
Allers DOA,S01012919,455,455,1.0
Allers DOA,S01012920,571,571,1.0
Allers DOA,S01012921,705,705,1.0
Allers DOA,S01012922,1012,1012,1.0
Allers DOA,S01012923,706,706,1.0
Allers DOA,S01012924,500,500,1.0
Allers DOA,S01012925,439,587,0.747870528109029
Allers DOA,S01012926,697,912,0.7642543859649122
Allers DOA,S01012927,772,772,1.0
Allers DOA,S01012928,558,837,0.6666666666666666
Allers DOA,S01012929,749,749,1.0
Allers DOA,S01012930,80,943,0.08483563096500531
Allers DOA,S01012931,813,1117,0.7278424350940018
Allers DOA,S01012932,283,711,0.3980309423347398
Allers DOA,S01012933,803,1108,0.7247292418772563
Allers DOA,S01012938,75,766,0.097911227154047
Allers DOA,S01012940,698,1057,0.6603595080416272
Allers DOA,S01012941,172,978,0.17586912065439672
Allers DOA,S01012970,579,738,0.7845528455284553
Allers DOA,S01012971,580,1324,0.4380664652567976
Allers DOA,S01012972,761,1212,0.6278877887788779
Allers DOA,S01012973,371,1161,0.3195521102497847
Allers DOA,S01012974,468,1232,0.37987012987012986
Allers DOA,S01012995,795,795,1.0
Allers DOA,S01012996,651,739,0.8809201623815968
Allers DOA,S01012997,275,626,0.43929712460063897
Allers DOA,S01012998,343,1283,0.2673421667965705
Allers DOA,S01012999,226,705,0.32056737588652484
Alloa DOA,S01007409,716,716,1.0
Alloa DOA,S01007410,703,703,1.0
Alloa DOA,S01007411,895,895,1.0
Alloa DOA,S01007412,478,478,1.0
Alloa DOA,S01007413,910,910,1.0
Alloa DOA,S01007414,694,694,1.0
Alloa DOA,S01007415,853,853,1.0
Alloa DOA,S01007416,595,595,1.0
Alloa DOA,S01007417,992,992,1.0
Alloa DOA,S01007418,654,654,1.0
Alloa DOA,S01007419,865,865,1.0
Alloa DOA,S01007420,558,1501,0.37175216522318455
Alloa DOA,S01007421,663,663,1.0
Alloa DOA,S01007422,590,590,1.0
Alloa DOA,S01007423,764,764,1.0
Alloa DOA,S01007424,787,787,1.0
Alloa DOA,S01007432,816,865,0.9433526011560693
Alloa DOA,S01007448,678,867,0.7820069204152249
Alloa DOA,S01007449,980,980,1.0
Alloa DOA,S01007450,774,774,1.0
Alloa DOA,S01007451,623,623,1.0
Alloa DOA,S01007452,480,529,0.9073724007561437
Alloa DOA,S01007453,635,635,1.0
Alloa DOA,S01007454,503,512,0.982421875
Alloa DOA,S01007455,846,846,1.0
Alloa DOA,S01007456,891,891,1.0
Alloa DOA,S01007457,1080,1080,1.0
Alloa DOA,S01007458,523,523,1.0
Alloa DOA,S01007459,643,643,1.0
Alloa DOA,S01007460,725,725,1.0
Alloa DOA,S01007461,680,680,1.0
Alloa DOA,S01007462,787,787,1.0
Alloa DOA,S01007463,988,988,1.0
Alloa DOA,S01007464,686,686,1.0
Alloa DOA,S01007465,785,785,1.0
Alloa DOA,S01007466,984,984,1.0
Alloa DOA,S01007467,974,974,1.0
Alloa DOA,S01007468,714,714,1.0
Alloa DOA,S01007469,611,611,1.0
Alloa DOA,S01007470,699,699,1.0
Alloa DOA,S01007471,479,479,1.0
Alloa DOA,S01007472,554,554,1.0
Alloa DOA,S01007473,438,438,1.0
Alloa DOA,S01007474,535,535,1.0
Alloa DOA,S01007475,594,594,1.0
Alloa DOA,S01007476,651,651,1.0
Alloa DOA,S01007477,540,540,1.0
Alloa DOA,S01007478,910,910,1.0
Alloa DOA,S01007479,579,579,1.0
Alloa DOA,S01007480,776,776,1.0
Almondbank DOA,S01011872,39,914,0.04266958424507659
Almondbank DOA,S01011873,246,812,0.30295566502463056
Almondbank DOA,S01011874,633,657,0.9634703196347032
Almondbank DOA,S01011875,637,672,0.9479166666666666
