Date,admissions
2021-05-01,0.0
2021-05-02,0.0
2021-05-03,0.926896551724138
2021-05-04,1.926896551724138
2021-05-05,0.0
2021-05-06,0.0
2021-05-07,1.1331775700934579
2021-05-08,1.1603864734299516
2021-05-09,0.0
2021-05-10,0.0
2021-05-11,0.3728191000918273
2021-05-12,1.0665887850467288
2021-05-13,1.0
2021-05-14,0.0
2021-05-15,0.0
2021-05-16,0.0
2021-05-17,0.0
2021-05-18,0.1629834254143646
2021-05-19,0.6365740740740741
2021-05-20,0.0
2021-05-21,1.0
2021-05-22,0.0
2021-05-23,1.0
2021-05-24,1.0
2021-05-25,1.0
2021-05-26,1.0
2021-05-27,2.270392749244713
2021-05-28,0.0
2021-05-29,0.0
2021-05-30,0.0
2021-05-31,0.0
2021-06-01,1.0
2021-06-02,1.0
2021-06-03,1.0
2021-06-04,0.0
2021-06-05,1.0
2021-06-06,0.0
2021-06-07,1.2524407252440726
2021-06-08,0.3318335208098987
2021-06-09,0.926896551724138
2021-06-10,0.0
2021-06-11,0.3318335208098987
2021-06-12,0.0
2021-06-13,0.3318335208098987
2021-06-14,0.0
2021-06-15,0.0
2021-06-16,0.926896551724138
2021-06-17,0.2524407252440725
2021-06-18,0.0
2021-06-19,0.0
2021-06-20,1.0
2021-06-21,0.0
2021-06-22,0.0
2021-06-23,0.0
2021-06-24,0.0
2021-06-25,0.0940959409594096
2021-06-26,0.0
2021-06-27,0.0
2021-06-28,0.0
2021-06-29,0.0
2021-06-30,0.0
2021-07-01,0.0
2021-07-02,0.0
2021-07-03,0.0
2021-07-04,0.0
2021-07-05,1.0
2021-07-06,0.0
2021-07-07,0.0
2021-07-08,0.0
