Date,admissions
2021-05-01,0.0
2021-05-02,0.0
2021-05-03,1.0
2021-05-04,0.2697881828316611
2021-05-05,0.0
2021-05-06,1.948207171314741
2021-05-07,0.0
2021-05-08,1.2213740458015268
2021-05-09,1.0
2021-05-10,0.0
2021-05-11,0.0
2021-05-12,2.0
2021-05-13,0.0
2021-05-14,0.3289473684210526
2021-05-15,1.0
2021-05-16,0.0
2021-05-17,0.3289473684210526
2021-05-18,0.0
2021-05-19,1.0
2021-05-20,0.0
2021-05-21,0.0
2021-05-22,0.0
2021-05-23,0.0
2021-05-24,1.0
2021-05-25,0.8805513016845329
2021-05-26,0.6293706293706294
2021-05-27,0.6293706293706294
2021-05-28,0.8805513016845329
2021-05-29,1.269788182831661
2021-05-30,0.0
2021-05-31,0.0
2021-06-01,1.3289473684210527
2021-06-02,1.0
2021-06-03,0.0
2021-06-04,1.0
2021-06-05,1.0
2021-06-06,0.0
2021-06-07,0.0
2021-06-08,1.0
2021-06-09,1.0
2021-06-10,0.0
2021-06-11,1.0
2021-06-12,0.0
2021-06-13,0.0
2021-06-14,0.2697881828316611
2021-06-15,0.0
2021-06-16,2.0
2021-06-17,0.0
2021-06-18,0.0
2021-06-19,1.0
2021-06-20,0.0
2021-06-21,1.0
2021-06-22,0.0
2021-06-23,0.0
2021-06-24,0.0
2021-06-25,0.0
2021-06-26,0.0
2021-06-27,0.0
2021-06-28,0.0
2021-06-29,0.0
2021-06-30,0.0
2021-07-01,0.0
2021-07-02,0.0
2021-07-03,0.0
2021-07-04,0.0
2021-07-05,0.0
2021-07-06,0.0
2021-07-07,0.0
2021-07-08,0.0
